5	5	100.337
5	10	80.0581
5	15	78.1782
5	20	81.1194
5	25	84.6775
5	30	98.1783
5	35	118.161
5	40	129.402
5	45	135.49
5	50	138.38
5	55	139.924
5	60	141.016
5	65	141.448
5	70	141.251
5	75	140.822
5	80	139.692
5	85	134.706
5	90	113.383
10	5	96.0383
10	10	69.2844
10	15	68.5736
10	20	69.4332
10	25	73.0711
10	30	78.6741
10	35	100.077
10	40	119.909
10	45	130.413
10	50	135.341
10	55	138.375
10	60	140.065
10	65	140.724
10	70	140.731
10	75	140.611
10	80	139.291
10	85	133.677
10	90	111.569
15	5	77.9667
15	10	63.129
15	15	59.8907
15	20	61.0654
15	25	64.4753
15	30	68.2861
15	35	80.4756
15	40	108.102
15	45	124.496
15	50	132.647
15	55	137.389
15	60	139.65
15	65	140.828
15	70	141.154
15	75	140.593
15	80	139.17
15	85	132.79
15	90	110.151
20	5	75.4506
20	10	57.3233
20	15	55.255
20	20	55.4278
20	25	57.3753
20	30	61.4117
20	35	67.0197
20	40	93.2273
20	45	117.89
20	50	130.066
20	55	136.085
20	60	139.064
20	65	140.587
20	70	140.956
20	75	140.576
20	80	138.594
20	85	131.503
20	90	107.823
25	5	60.9333
25	10	56.9972
25	15	49.2846
25	20	50.8815
25	25	52.714
25	30	56.2867
25	35	60.466
25	40	77.4987
25	45	110.272
25	50	127.309
25	55	135.315
25	60	139.181
25	65	140.61
25	70	141.107
25	75	140.595
25	80	137.966
25	85	129.751
25	90	104.588
30	5	85.8079
30	10	64.8121
30	15	53.028
30	20	47.7139
30	25	49.921
30	30	52.545
30	35	56.7242
30	40	65.5215
30	45	101.333
30	50	124.624
30	55	134.517
30	60	138.808
30	65	140.498
30	70	140.94
30	75	139.604
30	80	136.179
30	85	126.023
30	90	98.4249
35	5	96.1789
35	10	67.8491
35	15	50.966
35	20	47.2635
35	25	46.6949
35	30	49.6398
35	35	53.8941
35	40	59.0496
35	45	91.6
35	50	122.506
35	55	134.297
35	60	139.205
35	65	141.007
35	70	141.18
35	75	139.741
35	80	135.331
35	85	123.618
35	90	98.1036
40	5	56.8087
40	10	61.3628
40	15	45.6314
40	20	43.2896
40	25	43.2728
40	30	46.382
40	35	50.3153
40	40	55.9183
40	45	82.2123
40	50	120.171
40	55	134.373
40	60	139.48
40	65	141.142
40	70	140.78
40	75	138.111
40	80	131.968
40	85	118.189
40	90	89.5472
45	5	62.3218
45	10	56.4742
45	15	50.7343
45	20	45.2878
45	25	42.0892
45	30	43.7582
45	35	48.788
45	40	53.5627
45	45	74.0925
45	50	118.767
45	55	135.13
45	60	140.555
45	65	141.561
45	70	140.04
45	75	135.664
45	80	127.331
45	85	112.58
45	90	78.2987
50	5	48.362
50	10	55.7531
