90	0
92	293.889
94	251.667
96	268
98	236
100	267
102	233.846
104	292.037
106	348.4
108	366.745
110	356
112	342.709
114	316.725
116	298.735
118	284.319
120	269.381
122	256.073
124	244.373
126	234.464
128	224.803
130	216.791
132	209.329
134	202.283
136	195.24
138	189.359
140	184.116
142	179.741
144	175.993
146	172.74
148	169.453
150	166.744
152	164.143
154	161.563
156	158.964
158	156.921
160	154.488
162	152.123
164	149.669
166	147.233
168	144.367
170	141.041
172	137.543
174	131.759
176	123.023
178	104.53
180	61.6737
